Ad Supported,App Id,App Name,Developer Id,Fraud,In App Purchases,Rating,review,dev
True,mahabharat.arjun.warrior,Arjun : Warrior of Mahabharata,ServeSilicon Technologies,1,True,4.3,5.0,0
False,com.habitaware.android,Keen by HabitAware,"HabitAware, Inc.",0,False,3.7,5.0,0
True,net.kairosoft.android.noodle2_en,The Ramen Sensei 2,"Kairosoft Co.,Ltd",1,True,4.4,5.0,0
True,com.bilinguae.deutsch.vokabular,Learn German Vocabulary,AltairApps,0,True,4.7,5.0,0
False,com.rtve.eltiempo,El Tiempo en RTVE.es,RTVE Medios Interactivos,0,False,3.1,5.0,0
True,com.histoir.bac.nabilsoft.bachistoir,مصطلحات وتواريخ الإجتماعيات,Nabil_Soft,0,False,4.4,5.0,0
True,com.visastatuscheckapp.onlinevisastatusapp,Visa Check Status App :Online Visa Status Tracking,Technical Apps Developer,1,False,2.6,1.0,0
False,com.hitec.nc2600,X4 Advanced II&III JPN ver,Hitec Multiplex,0,False,1.4,5.0,0
False,com.popupsolution.ptt.android,PTT Station,PTT Digital Solutions Company Limited,1,False,3.5,5.0,0
True,com.kissas.boulissia,قصص بوليسية حقيقية مكتوبة,Yasdroid,1,False,3.5,1.0,0
True,com.nexample.martinmazanec.foamrollercoachapp,Foam Roller,Fitify Apps,0,True,4.4,5.0,0
True,com.longdo.dict,Longdo Dict Thai Dictionary,"Metamedia Technology Co., Ltd.",0,True,4.4,5.0,0
False,org.physioblasts.pbupdate,Physioblasts.Org,Arun S. Sekher,1,False,4.5,5.0,0
True,com.xmas.christmas,Christmas Radio,SB TeamBerlin,0,False,4.6,5.0,0
True,com.kanakadharastotra.app,Kanakadhara Stotram,Vijithendriya Apps,0,False,4.6,5.0,0
True,com.vertaler.tlen,Filipino English Translator,Pro Languages,0,False,4.5,5.0,0
True,com.ikeyboard.emoji.emojione,Emoji One Stickers for Chatting apps(Add Stickers),Stickers Emojis Maker for Chatting Apps,0,False,4.7,5.0,0
False,com.foodbooking.pastelos,Pastelos,GlobalFood,0,False,4.9,5.0,0
False,com.teranium.nirdafot,Hebrew Milim Nirdafot,Hanoch Magal,0,False,4.6,5.0,0
True,com.theappsstation.android5eb4eddf3b692,मेरा विद्यालय,Pukhraj Mongas,0,False,4.6,5.0,0
False,tv.kazooloo.kazooloo,Kazooloo AR,Kazooloo ltd,0,False,4.2,5.0,0
False,libraforkwgt.kustom.pack,Libra KWGT,Halley Apps™,0,False,4.8,5.0,0
True,com.hg.robotringfighting,Steel Robot Ring Fighting – Robot Wrestling 2019,Horizon Games Inc.,0,True,4.0,5.0,0
True,slime.games,Slime Games: Slime Simulator Games for Girls,App Labs Games,0,False,3.9,5.0,0
False,com.ICHINIGO.SHINZOAPP,SHINZO APP Six of Him -R- (cv Ryohei Kimura),125 Inc.,0,True,4.5,5.0,0
True,com.ikeyboard.theme.neon.candy.hearts,Neon Candy Hearts Keyboard Theme,New 2021 Themes for Emoji keyboard,0,False,4.7,5.0,0
False,br.com.qapcar.passenger.drivermachine,QAP Car,Driver Machine - Hospedagem Compartilhada,0,False,4.3,5.0,0
False,com.uniquepublishing.gortnorabbey,Gortnor Abbey,Unique Diary Productions Limited,1,False,4.1,5.0,0
True,com.gdevreborn.hd8k,Wallpapers 8K Ultra HD,Gdev Reborn,0,False,3.4,5.0,0
False,com.groovin.shaderpacksforminecraftpe,Shader Packs for Minecraft PE,Groovin Infotech,1,False,3.8,1.0,0
False,com.lzx.cinemapp,CinemApp - Never miss a movie,Pascal Lzx,0,False,4.0,5.0,0
False,com.niyo.global,Niyo Global by DCB,Finnew Solutions Pvt. Ltd.,0,False,3.9,5.0,0
False,com.com.app.jammer,Jammer,Accurate Web Solutions,0,False,3.1,5.0,0
False,com.cbm.pbcliving,PBC Living®,Intercept Pharmaceuticals - Commercial,1,False,3.9,5.0,0
True,smartgr.rustichome.decor,Rustic Home Decor,Smartongroup,1,False,4.1,5.0,0
False,com.shofarapp,Shofar Sho-good,Moishe House,0,False,4.3,5.0,0
True,pl.bizcalc.saturnmoons,Moons of Saturn,qSoftDotApk,0,False,4.3,5.0,0
False,com.tnimmobilier.app,Ti TV Live,Tunisie Immobilier,0,False,5.0,5.0,0
True,com.mg.snowmobileparkhorizondawn,Snowmobile Park Horizon Dawn,MobileGames,1,False,3.8,2.0,0
True,com.frontigames.demoncrashervip,Demon Crasher (VIP),FrontiGames75,1,True,2.9,2.0,0
False,au.gov.nsw.npws.nswparks,NSW National Parks,"Department of Planning, Industry & Environment NSW",0,False,3.3,5.0,0
False,com.marbotic.plusoumoinslite,Marbotic More or Less Math App,Marbotic,1,False,2.8,1.0,0
True,net.edisoft.cherryslot,Cherry BONUS Slot Casino,Edisoft S.r.l.,1,False,4.0,1.0,0
True,com.infotravel888.motorinsurance,Renewal Roadtax Insurance by TT Agency,Info Travel 888,0,False,3.6,5.0,0
True,com.pi.hd.HighwayDestroyer,Merge to Fight: Smashy Car,Pi_game,1,False,4.0,5.0,0
False,com.inthinc.connectApplication,inthinc Connect,"inthinc Technology Solutions, Inc.",0,False,2.0,5.0,0
True,com.kitsord,Kitsord - Sign Language App,Kitsord,0,False,3.7,5.0,0
False,com.yandev.ucacoinwallet,UCACOIN Android Wallet,United Crypto Alliance,0,False,4.5,5.0,0
True,com.babylearninghub.myfirstwords,First Words for Baby,Baby Learning Hub,0,False,4.7,5.0,0
False,com.fourthcareer.listmeds1,ListMeds - Plus,Fourth Career Solutions,0,False,4.1,5.0,0
True,com.bismillahtechnolohy.donttouchmyphone,Anti-Theft : GPS Lost Phone Tracker,Bismillah Technology,0,False,3.4,5.0,0
True,com.app3daily.a3db108,लड़की पटाना सीखे - १५ दिन में,app3daily,0,False,4.0,5.0,0
False,com.zin.main,Zinzino Mobile,Naxum Online Marketing,0,False,4.3,5.0,0
True,com.music.tariq.aghani.mahmoud.liti,جميع اغاني محمود الليثي جديدة و قديمة بدون نت,music tariq,1,False,4.8,5.0,0
True,com.neongame.stackerup,Stacker Up - Physics Puzzles,Neon Game,0,True,4.5,5.0,0
True,org.paraggupta.studybytech,StudyByTech,studybytech,0,False,4.1,5.0,0
True,nurseryrhymesforkids.freehappybirthdaysongs,Happy Birthday Song,Galileo Free Apps,0,False,3.7,5.0,0
True,com.datu.moviesanywhere,Free movies online,Datu Perla Apps,0,False,3.4,5.0,0
True,com.heart.lovegif,"Love heart Gifs images 4K, Romantic hearts 3D",Coralia,0,False,4.6,5.0,0
True,com.pirate.story.savethepirate.episodestories,Pirate Story: Make Your Choice,Mauris,0,False,3.4,5.0,0
True,com.fallentreegames.google.quellzen,Quell Zen,FallenTreeGames,1,True,4.4,5.0,0
False,io.tatenda.rcz,RCZ Hymn Book - Nziyo Dzekereke,Tatenda Muvhu,1,True,4.9,5.0,0
True,com.elitsolutions.yolnisanlari,Yol nişanları - Sürücülük vəsiqəsi 2020,ElitSolutions.com,0,False,4.7,5.0,0
True,com.gamebox.skyfighterplanegunshipaircraftbattle,Sky Fighter Plane – Gunship Aircraft Battle 2019,3D Game Box,0,False,3.7,5.0,0
True,com.christmas.glittercoloringdodo,2021 Christmas Coloring Book Glitter,FunKidStudio,0,True,3.6,5.0,0
True,com.global.ec.everfreemusickpop,K-POP Music Player,Evercreation,0,True,4.0,5.0,0
True,com.gorillaz5.darkthings,Dark Things - detective quest,Miroslav Berezovsky,0,True,4.2,5.0,0
False,br.com.volkswagen.VolkswagenRA,Volkswagen AR,Volkswagen do Brasil Ltda,1,False,3.2,1.0,0
True,com.simorghgames.xo,XO,Simorgh Games,0,False,4.1,5.0,0
True,com.yinzcam.nfl.sf,San Francisco 49ers,SF 49ers,0,False,4.7,5.0,0
True,com.unsei.mamamoo.wheein.wallpaper,Mamamoo Wheein wallpaper Kpop HD new,Unsei Dev,0,False,4.6,5.0,0
True,com.hangtt.theologicaldictionary,Theological Dictionary,💖💖💖💖💖Trinh Hang,0,True,4.5,5.0,0
True,com.markazmusicmonks.megahits90s,Mega Hits 90s Songs,Markaz Music Monks,0,False,4.8,5.0,0
False,net.ezeon.eisdigital.pkhandelwal,P Khandelwal Tutorials,EZEON T. Pvt Ltd,0,False,4.0,5.0,0
False,jp.e3e.airmon,airmon,E3 Enterprise,0,False,4.1,5.0,0
True,com.PoisonGames.ZDS,Z Day Shootout,Poison Games,0,False,4.2,5.0,0
True,com.beijinhogostoso,Bruninho e Livinho - Beijinho Gostoso - Offline,RealizaApp,0,False,4.1,5.0,0
True,com.frugalflyer.airport.mco,Orlando Airport (MCO) Info + Flight Tracker,Sinecloud,0,True,3.9,5.0,0
True,io.kodular.WILDKINGKHANNA.ONEINDIAONEAPP,One India One App : Digital Aadhaar PAN Voter Seva,Noway & Wkk Software.,0,False,5.0,5.0,0
True,com.smartpdffilereader,PDF File Reader,Arise World,0,False,4.2,5.0,0
True,com.physics.notes.for.olevel,PHYSICS NOTES FOR O'LEVEL,Mitume Technologies,0,False,4.0,5.0,0
True,air.tw.com.bonuswinner.bwcdztw,惡魔塔推幣機 (宅神爺娛樂館),Bonus Winner Online Entertainment Co. Ltd.,0,True,4.3,5.0,0
True,com.wave.keyboard.theme.butterflydanceanimatedkeyboard,Butterfly Animated Keyboard & Live Wallpaper,Keyboard Background for Android Apps,0,False,4.6,5.0,0
True,com.black.lock.screen.new,Black lock screen,Lock screen themes,1,False,3.5,5.0,0
False,net.at4.emt,EMT Palma,at4.net,0,False,3.7,5.0,0
True,com.colorappsdev.twicewallpaperhd,Twice Wallpaper KPOP HD,Color Apps Dev,0,False,4.7,5.0,0
True,com.maxworkoutcoach.workouttrainer.workouttrainer,Personal Training Coach,MaxTrainingTech,0,True,4.7,5.0,0
True,hu.magicpixel.nitrowarriors,Hill 4x4 Tuning Warriors,Magic Pixel KFT.,0,True,3.4,5.0,0
False,net.recollect.carletonplace.waste,Carleton Place Waste Solutions,Corporation of the Town of Carleton Place,1,False,4.8,5.0,0
False,com.zliide.customer,Zliide,Zliide Technologies,1,False,3.1,1.0,0
True,com.MobimiGames.CarDrivingSimulator2018UltimateDrift,Car Driving Simulator 2020 Ultimate Drift,Mobimi Games,0,False,4.2,5.0,0
True,com.elcode.mobi.quran.kids,Holy Quran For Children,maghrebunited,0,False,4.7,5.0,0
True,com.freefiretips.diamonds,Guide for FF 2021 new,youssefpro,1,False,4.1,5.0,0
False,de.codewing.ibash,ibash 3.0,codewing,0,False,4.3,4.0,0
True,air.com.bestescapegame.BestEscapeGame570FindAstrologerParrotGame,Best Escape Game 570 Find Astrologer Parrot Game,JRK Games,0,False,4.8,5.0,0
True,com.ko.gept.zhonggaoji.enword.cn,全民英檢(中高級)-重要英語單詞,h-study,0,False,4.7,4.0,0
True,com.droidguru.tictactoe,Tic Tac Toe With Chat: Free 2 Player XO Board Game,Impetus Studio,0,False,3.3,5.0,0
False,edu.pki.CEEN.lab.bluebot,BLUBoT (Not for Consoles),Demortes,0,False,3.2,5.0,0
False,com.trendytreevajro,Trendy Tree,Trendy Tree,1,False,4.9,5.0,0
False,mint.middleeast.app,Hafed,Mint Group,0,False,4.0,5.0,0
True,com.salapp.phoneinfo,Phone Information,SALRSoft,1,False,3.9,5.0,0
False,com.asmi.qurantukufu,Quran in Swahili,Mahmoud Al-Asmi,0,False,4.7,5.0,0
False,com.mobile.wsdnemployeeportal,WorkSchedule.Net,WSDN,0,False,3.1,5.0,0
True,com.gild.goroskop,Гороскоп Совместимость,Gilder,1,False,4.1,1.0,0
True,com.sachosdev.wpg,Writing Prompt Generator,sachosDev,1,False,3.2,5.0,0
False,com.aliaspayments.apps.easypay,Ultra Top Fuel Easy Pay,Alias Payments,0,False,4.7,5.0,0
True,com.appdictionary.app16,English Telugu Dictionary,dictionaryapp,0,False,3.8,5.0,0
True,com.photokindle.WildAnimal.Photo.Frame,Wild Animal Photo Frames - Collage Editor,Photo Kindle,0,False,4.4,5.0,0
True,ru.vddevelopment.ref.enbaren.free,English Bavarian Dictionary,vdru,1,False,3.4,1.0,0
False,jp.co.product.itsuali,偽りのアリス,株式会社ビジュアルアーツ,0,False,4.2,5.0,0
False,lt.lrt.prototo,LRT PROTOTO,Lietuvos nacionalinis radijas ir televizija,0,False,2.8,5.0,0
False,com.alcatel.kidswatch,MOVETIME Track & Talk watch,TCL-CONNECTED,1,False,2.3,5.0,0
False,cz.mpizza.expressmichaelozilina,Pizza Express Michaelo,DEEP VISION s.r.o.,0,False,4.4,4.0,0
False,com.bofrost.bofrost,bofrost*,bofrost* Spa,1,False,4.0,5.0,0
True,com.wallie.trippy.wallpapers,Trippy Wallpapers HD 4K,Wallie,0,False,3.6,5.0,0
False,bg.a1.android.xploretv,A1 Xplore TV GO,A1 Bulgaria,0,False,3.3,5.0,0
True,com.merrychristmas.match3e,Candy Christmas Match 3,Candy Studios Inc,0,True,4.5,5.0,0
